,date,tweet,sentence,num_sentence,average_sentence_length,tokens,count_tokens
0,2018-12-12,应该意识到，合格的、没有 #MeToo 污点的大法官至少好几位。这个单一裁决并不能洗清他是个戏精、撒谎者、为上位无所不用其极的投机份子。 况且，最关键要看，如果需要裁定「司法部能否起诉现任总统」时，他怎么站队？#KavaNo @LINK …,['应该意识到，合格的、没有 #MeToo 污点的大法官至少好几位。这个单一裁决并不能洗清他是个戏精、撒谎者、为上位无所不用其极的投机份子。 况且，最关键要看，如果需要裁定「司法部能否起诉现任总统」时，他怎么站队？#KavaNo @LINK\xa0…'],1,64,"['应该', '意识', '到', '，', '合格', '的', '、', '没有', '#', 'MeToo', '污点', '的', '大法官', '至少', '好几位', '。', '这个', '单一', '裁决', '并', '不能', '洗清', '他', '是', '个', '戏精', '、', '撒谎', '者', '、', '为', '上位', '无所不用其极', '的', '投机份子', '。', '况且', '，', '最', '关键', '要', '看', '，', '如果', '需要', '裁定', '「', '司法部', '能否', '起诉', '现任', '总统', '」', '时', '，', '他', '怎么', '站队', '？', '#', 'KavaNo', '@', 'LINK', '…']",64
1,2018-12-12,今年九月，麦当劳员工大动作起身抗议，呼吁麦当劳不要再漠视性骚扰案件。一起看 #MeToo 运动如何从政治、演艺圈走向蓝领阶层。   @LINK …,['今年九月，麦当劳员工大动作起身抗议，呼吁麦当劳不要再漠视性骚扰案件。一起看 #MeToo 运动如何从政治、演艺圈走向蓝领阶层。   @LINK\xa0…'],1,34,"['今年', '九月', '，', '麦当劳', '员工', '大', '动作', '起身', '抗议', '，', '呼吁', '麦当劳', '不要', '再', '漠视', '性骚扰', '案件', '。', '一起', '看', '#', 'MeToo', '运动', '如何', '从', '政治', '、', '演艺圈', '走向', '蓝领阶层', '。', '@', 'LINK', '…']",34
2,2018-12-12,「如果洁身自爱，性侵害就不会找上你」：#Metoo 一年了，世界改变了吗？  @LINK ,['「如果洁身自爱，性侵害就不会找上你」：#Metoo 一年了，世界改变了吗？  @LINK'],1,25,"['「', '如果', '洁身自爱', '，', '性', '侵害', '就', '不会', '找', '上', '你', '」', '：', '#', 'Metoo', '一年', '了', '，', '世界', '改变', '了', '吗', '？', '@', 'LINK']",25
3,2018-12-12,「要保护自己」原本是善意，怎么变成毒药了呢？看图了解更多！ 延伸阅读： 关于Only Yes means yes更多你可能忽略的事实  @LINK  影片：为什么我们会责怪被害者  @LINK  #Metoo #OnlyYesmeansyes #性侵 #我也是 pic.twitter.com/p49TMIJ31n,['「要保护自己」原本是善意，怎么变成毒药了呢？看图了解更多！ 延伸阅读： 关于Only Yes means yes更多你可能忽略的事实  @LINK\xa0 影片：为什么我们会责怪被害者  @LINK\xa0 #Metoo #OnlyYesmeansyes #性侵 #我也是 pic.twitter.com/p49TMIJ31n'],1,64,"['「', '要', '保护', '自己', '」', '原本', '是', '善意', '，', '怎么', '变成', '毒药', '了', '呢', '？', '看', '图', '了解', '更', '多', '！', '延伸', '阅读', '：', '关于', 'Only', 'Yes', 'means', 'yes', '更', '多', '你', '可能', '忽略', '的', '事实', '@', 'LINK', '影片', '：', '为什么', '我们', '会', '责怪', '被害者', '@', 'LINK', '#', 'Metoo', '#', 'OnlyYesmeansyes', '#', '性侵', '#', '我', '也', '是', 'pic', '.', 'twitter', '.', 'com', '/', 'p49TMIJ31n']",64
4,2018-12-11,2018年，东亚各国推行的种种压制性措施令人忧虑，我们看见公民社会空间日渐紧缩、律师及人权捍卫者被镇压、各国在废除死刑的问题上进展悲观。  但 #metoo 运动以及承认同性伴侣关系方面的积极迹象，让我们在迈入2019年之际仍能看到一些曙光。   @LINK ,['2018年，东亚各国推行的种种压制性措施令人忧虑，我们看见公民社会空间日渐紧缩、律师及人权捍卫者被镇压、各国在废除死刑的问题上进展悲观。  但 #metoo 运动以及承认同性伴侣关系方面的积极迹象，让我们在迈入2019年之际仍能看到一些曙光。   @LINK'],1,65,"['2018', '年', '，', '东亚各国', '推行', '的', '种种', '压制性', '措施', '令人', '忧虑', '，', '我们', '看见', '公民', '社会', '空间', '日渐', '紧缩', '、', '律师', '及', '人权', '捍卫者', '被', '镇压', '、', '各国', '在', '废除', '死刑', '的', '问题', '上', '进展', '悲观', '。', '但', '#', 'metoo', '运动', '以及', '承认', '同', '性伴侣', '关系', '方面', '的', '积极', '迹象', '，', '让', '我们', '在', '迈入', '2019', '年', '之际', '仍能', '看到', '一些', '曙光', '。', '@', 'LINK']",65
5,2018-12-11,哦耶～夜夜夜～给我喝ㄋㄟㄋㄟ #梦魔的游记 #梦魔の纪行 #催眠疗法 #喝ㄋㄟㄋㄟ #伊藤润二 #神交 #metoo #变态医生  @LINK …,['哦耶～夜夜夜～给我喝ㄋㄟㄋㄟ #梦魔的游记 #梦魔の纪行 #催眠疗法 #喝ㄋㄟㄋㄟ #伊藤润二 #神交 #metoo #变态医生  @LINK\xa0…'],1,41,"['哦', '耶', '～', '夜夜', '夜', '～', '给', '我', '喝', 'ㄋ', 'ㄟ', 'ㄋ', 'ㄟ', '#', '梦魔', '的', '游记', '#', '梦魔', 'の', '纪行', '#', '催眠疗法', '#', '喝', 'ㄋ', 'ㄟ', 'ㄋ', 'ㄟ', '#', '伊藤润二', '#', '神交', '#', 'metoo', '#', '变态', '医生', '@', 'LINK', '…']",41
6,2018-12-10,"转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？

 @LINK  @LINK ",['转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？\n\n @LINK  @LINK'],1,55,"['转', '噗', '女人', '迷', 'womany', ':', '钮承泽', '事件', '后续', '的', '回应', '，', '可以', '看见', '媒体', '与', '社会', '的', '有罪', '推定', '、', '咎责', '被害者', '的', '言论', '等', '，', '这', '与', '#', 'MeToo', '运动', '后续', '发展', '的', '瓶颈', '与', '困境', '，', '有', '许多', '相似之处', '，', '那', '我们', '接下来', '该', '如何', '做', '呢', '？', '@', 'LINK', '@', 'LINK']",55
7,2018-12-10,"转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？

 @LINK  @LINK ",['转噗 女人迷 womany: 钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？\n\n @LINK  @LINK'],1,55,"['转', '噗', '女人', '迷', 'womany', ':', '钮承泽', '事件', '后续', '的', '回应', '，', '可以', '看见', '媒体', '与', '社会', '的', '有罪', '推定', '、', '咎责', '被害者', '的', '言论', '等', '，', '这', '与', '#', 'MeToo', '运动', '后续', '发展', '的', '瓶颈', '与', '困境', '，', '有', '许多', '相似之处', '，', '那', '我们', '接下来', '该', '如何', '做', '呢', '？', '@', 'LINK', '@', 'LINK']",55
8,2018-12-10,钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？   @LINK …,['钮承泽事件后续的回应，可以看见媒体与社会的有罪推定、咎责被害者的言论等，这与 #MeToo 运动后续发展的瓶颈与困境，有许多相似之处，那我们接下来该如何做呢？   @LINK\xa0…'],1,48,"['钮承泽', '事件', '后续', '的', '回应', '，', '可以', '看见', '媒体', '与', '社会', '的', '有罪', '推定', '、', '咎责', '被害者', '的', '言论', '等', '，', '这', '与', '#', 'MeToo', '运动', '后续', '发展', '的', '瓶颈', '与', '困境', '，', '有', '许多', '相似之处', '，', '那', '我们', '接下来', '该', '如何', '做', '呢', '？', '@', 'LINK', '…']",48
9,2018-12-10,#metoo 年代，有都好应该？ - 英国大学学生会，有愈来愈多少数代表，例如同性恋、少数族裔，最近西兰开郡大学甚至出现男性代表。 一位38岁嘅男学生选到呢个位，唔少人都语带耻笑，唔少人都觉得「男性代表不足」嘅说法还丹离奇。 其实好几间英国大.....  @LINK ,['#metoo 年代，有都好应该？ - 英国大学学生会，有愈来愈多少数代表，例如同性恋、少数族裔，最近西兰开郡大学甚至出现男性代表。 一位38岁嘅男学生选到呢个位，唔少人都语带耻笑，唔少人都觉得「男性代表不足」嘅说法还丹离奇。 其实好几间英国大.....  @LINK'],1,70,"['#', 'metoo', '年代', '，', '有', '都', '好', '应该', '？', '-', '英国大学', '学生会', '，', '有', '愈来愈多', '少数', '代表', '，', '例如', '同性恋', '、', '少数', '族裔', '，', '最近', '西兰', '开郡', '大学', '甚至', '出现', '男性', '代表', '。', '一位', '38', '岁', '嘅', '男', '学生', '选到', '呢', '个位', '，', '唔', '少人', '都', '语带', '耻笑', '，', '唔', '少人', '都', '觉得', '「', '男性', '代表', '不足', '」', '嘅', '说法', '还丹', '离奇', '。', '其实', '好几间', '英国', '大', '.....', '@', 'LINK']",70
